title,disc,digital,id,poster,actors,genres,rating,content_rating,year,duration_str,duration_min,trailer,plot_summary
Ant-Man And The Wasp: Quantumania,NONE,yes,tt10954600,"https://m.media-amazon.com/images/M/MV5BODZhNzlmOGItMWUyYS00Y2Q5LWFlNzMtM2I2NDFkM2ZkYmE1XkEyXkFqcGdeQXVyMTU5OTA4NTIz._V1_QL75_UX190_CR0,0,190,281_.jpg","Paul Rudd, Evangeline Lilly, Michael Douglas","Action, Adventure, Comedy",6.1,PG-13,2023,2h 4m,124.0,https://www.youtube.com/embed/ZlNFpri-Y40,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?"
Apollo 13,BR,no,tt0112384,"https://m.media-amazon.com/images/M/MV5BMjc4MzZlNmQtN2ZlOS00OGQzLWI5YjEtNDQ2YmZlN2FjNTIxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg","Tom Hanks, Bill Paxton, Kevin Bacon","Adventure, Drama, History",7.7,PG,1995,2h 20m,140.0,https://www.youtube.com/embed/KtEIMC58sZo,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
Appaloosa,DVD,no,tt0800308,"https://m.media-amazon.com/images/M/MV5BMTMxMDE5NDIxM15BMl5BanBnXkFtZTcwNjI0MjQ4MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Ed Harris, Viggo Mortensen, Renée Zellweger","Action, Crime, Drama",6.7,R,2008,1h 55m,115.0,https://www.youtube.com/embed/PDGbtFx5rLg,Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.
Aquaman,NONE,yes,tt1477834,"https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Jason Momoa, Amber Heard, Willem Dafoe","Action, Adventure, Fantasy",6.9,PG-13,2018,2h 23m,143.0,https://www.youtube.com/embed/WDkg3h8PCVU,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
Argo,DVD,yes,tt1024648,"https://m.media-amazon.com/images/M/MV5BNzljNjY3MDYtYzc0Ni00YjU0LWIyNDUtNTE0ZDRiMGExMjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","Ben Affleck, Bryan Cranston, John Goodman","Biography, Drama, Thriller",7.7,R,2012,2h,2.0,https://www.youtube.com/embed/JW3WfSFgrVY,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
Armageddon,NONE,yes,tt0120591,"https://m.media-amazon.com/images/M/MV5BMGM0NzE2YjgtZGQ4YS00MmY3LTg4ZDMtYjUwNTNiNTJhNTQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR3,0,190,281_.jpg","Bruce Willis, Billy Bob Thornton, Ben Affleck","Action, Adventure, Sci-Fi",6.7,PG-13,1998,2h 31m,151.0,https://www.youtube.com/embed/8-8eEniEfgU,"After discovering that an asteroid the size of Texas will impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet."
Arrival,NONE,yes,tt2543164,"https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_QL75_UX190_CR0,8,190,281_.jpg","Amy Adams, Jeremy Renner, Forest Whitaker","Drama, Sci-Fi",7.9,PG-13,2016,1h 56m,116.0,https://www.youtube.com/embed/tFMo3UJ4B4g,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
Atomic Blonde,BR,yes,tt2406566,"https://m.media-amazon.com/images/M/MV5BMjM5NDYzMzg5N15BMl5BanBnXkFtZTgwOTM2NDU1MjI@._V1_QL75_UX190_CR0,10,190,281_.jpg","Charlize Theron, James McAvoy, John Goodman","Action, Thriller",6.7,R,2017,1h 55m,115.0,https://www.youtube.com/embed/JIqcMl0hzXs,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.
Austin Powers In Goldmember,DVD,no,tt0295178,"https://m.media-amazon.com/images/M/MV5BMTI3NTkzODI0MF5BMl5BanBnXkFtZTYwNjc5MTA3._V1_QL75_UX190_CR0,0,190,281_.jpg","Mike Myers, Beyoncé, Seth Green","Action, Adventure, Comedy",6.2,PG-13,2002,1h 34m,94.0,https://www.youtube.com/embed/XROEPkzyCRg,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil."
Austin Powers: International Man Of Mystery,NONE,yes,tt0118655,"https://m.media-amazon.com/images/M/MV5BMWUwMmEwY2QtMGZmZC00ZDVjLTg1NDgtMmI0MmZmYmM4NGIxXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,6,190,281_.jpg","Mike Myers, Elizabeth Hurley, Michael York","Adventure, Comedy",7.0,PG-13,1997,1h 29m,89.0,https://www.youtube.com/embed/5vsANcS4Ml8,A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.
Avatar,BR,no,tt0499549,"https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Sam Worthington, Zoe Saldana, Sigourney Weaver","Action, Adventure, Fantasy",7.9,PG-13,2009,2h 42m,162.0,https://www.youtube.com/embed/5PSNL1qE6VY,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Avatar: the Way of Water,NONE,yes,tt1630029,"https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_QL75_UY281_CR3,0,190,281_.jpg","Sam Worthington, Zoe Saldana, Sigourney Weaver","Action, Adventure, Fantasy",7.6,PG-13,2022,3h 12m,192.0,https://www.youtube.com/embed/d9MyW72ELq0,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
Avengers,BR,no,tt0848228,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","Robert Downey Jr., Chris Evans, Scarlett Johansson","Action, Adventure, Sci-Fi",8.1,PG-13,2012,2h 23m,143.0,https://www.youtube.com/embed/eOrNdBpGMv8,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Avengers: Age Of Ultron,NONE,yes,tt2395427,"https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UX190_CR0,0,190,281_.jpg","Robert Downey Jr., Chris Evans, Mark Ruffalo","Action, Adventure, Sci-Fi",7.3,PG-13,2015,2h 21m,141.0,https://www.youtube.com/embed/tmeOjFno6Do,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
Avengers: Endgame,NONE,yes,tt4154796,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Robert Downey Jr., Chris Evans, Mark Ruffalo","Action, Adventure, Drama",8.4,PG-13,2019,3h 1m,181.0,https://www.youtube.com/embed/TcMBFSGVi1c,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Avengers: Infinity War,NONE,yes,tt4154756,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Action, Adventure, Sci-Fi",8.5,PG-13,2018,2h 29m,149.0,https://www.youtube.com/embed/6ZfuNTqbHE8,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Babylon A.D.,DVD,no,tt0364970,"https://m.media-amazon.com/images/M/MV5BNGYyZjk2ZjMtNDgzOS00OTY5LTg1MzktNzRiOTNkNzMxNGQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg","Vin Diesel, Michelle Yeoh, Mélanie Thierry","Action, Adventure, Sci-Fi",5.5,PG-13,2008,1h 30m,90.0,https://www.youtube.com/embed/n1x5R8rXzoM,Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.
Bangkok Dangerous,DVD,no,tt0814022,"https://m.media-amazon.com/images/M/MV5BZTY3NDgwNGUtNWVkNC00NzQzLTkxODMtOGI5OTVjM2JjYjkwXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Nicolas Cage, Charlie Yeung, Shahkrit Yamnarm","Action, Crime, Thriller",5.3,R,2008,1h 39m,99.0,https://www.youtube.com/embed/s7_EepdWDxg,A hitman who's in Bangkok to pull off a series of jobs violates his personal code when he falls for a local woman and bonds with his errand boy.
